名称,address,类别,111
晋剧,井陉县文化馆,传统戏剧,井陉县文化馆
河北梆子,河北省河北梆子剧院演艺有限公司,传统戏剧,河北省河北梆子剧院演艺有限公司
豫剧（桑派）,邯郸市东风剧团,传统戏剧,邯郸市东风剧团
乱弹（威县乱弹）,威县文化馆（威县美术馆）,传统戏剧,威县文化馆（威县美术馆）
乱弹（南岩乱弹）,高邑县万城乡南岩乱弹剧团,传统戏剧,高邑县万城乡南岩乱弹剧团
石家庄丝弦,石家庄市丝弦剧团,传统戏剧,石家庄市丝弦剧团
评剧,滦南县,传统戏剧,滦南县
评剧,石家庄市评剧院一团,传统戏剧,石家庄市评剧院一团
武安平调落子,武安市文化馆,传统戏剧,武安市文化馆
秧歌戏（隆尧秧歌戏）,隆尧县文化馆,传统戏剧,隆尧县文化馆
秧歌戏（定州秧歌戏）,定州市文化馆,传统戏剧,定州市文化馆
秧歌戏（蔚县秧歌）,蔚县文化馆,传统戏剧,蔚县文化馆
哈哈腔,保定市清苑区哈哈腔剧团,传统戏剧,保定市清苑区哈哈腔剧团
哈哈腔,青县哈哈腔戏剧协会,传统戏剧,青县哈哈腔戏剧协会
二人台,康保县文化馆,传统戏剧,康保县文化馆
傩戏（武安傩戏）,武安市文化馆,传统戏剧,武安市文化馆
皮影戏（唐山皮影戏）,唐山市群众艺术馆,传统戏剧,唐山市群众艺术馆
皮影戏（冀南皮影戏）,邯郸市群众艺术馆,传统戏剧,邯郸市群众艺术馆
皮影戏（河间皮影戏）,河间市文化馆,传统戏剧,河间市文化馆
皮影戏（昌黎皮影戏）,昌黎县文化馆,传统戏剧,昌黎县文化馆
皮影戏（乐亭皮影戏）,乐亭县文化遗产传承中心,传统戏剧,乐亭县文化遗产传承中心
皮影戏（沙河皮影戏）,沙河市文化馆,传统戏剧,沙河市文化馆
老调（保定老调）,保定艺术剧院,传统戏剧,保定艺术剧院
老调（安国老调）,安国老调艺术传播有限公司,传统戏剧,安国老调艺术传播有限公司
四股弦（冀南四股弦）,巨鹿县文化馆,传统戏剧,巨鹿县文化馆
四股弦（冀南四股弦）,馆陶县文化馆,传统戏剧,馆陶县文化馆
四股弦（冀南四股弦）,魏县文化馆,传统戏剧,魏县文化馆
四股弦（冀南四股弦）,邯郸市肥乡区文化馆（区公共图书馆）,传统戏剧,邯郸市肥乡区文化馆（区公共图书馆）
赛戏,邯郸经济技术开发区教育和文化体育中心,传统戏剧,邯郸经济技术开发区教育和文化体育中心
赛戏,武安市文化馆,传统戏剧,武安市文化馆
赛戏,涉县文化馆,传统戏剧,涉县文化馆
永年西调,邯郸市永年区文化馆,传统戏剧,邯郸市永年区文化馆
坠子戏,深泽县坠子剧团有限公司,传统戏剧,深泽县坠子剧团有限公司
西路梆子,海兴县文化馆,传统戏剧,海兴县文化馆
南路丝弦,邢台市群众艺术馆,传统戏剧,邢台市群众艺术馆
山东大鼓（梨花大鼓）,鸡泽县文化馆,曲艺,鸡泽县文化馆
山东大鼓（梨花大鼓）,威县文化馆（威县美术馆）,曲艺,威县文化馆（威县美术馆）
西河大鼓,河间市文化馆,曲艺,河间市文化馆
西河大鼓,河北省文安县文化馆,曲艺,河北省文安县文化馆
木板大鼓,沧县文化馆,曲艺,沧县文化馆
乐亭大鼓,乐亭县文化遗产传承中心,曲艺,乐亭县文化遗产传承中心
乐亭大鼓,滦南县文化馆,曲艺,滦南县文化馆
京东大鼓,廊坊市群众艺术馆,曲艺,廊坊市群众艺术馆
河南坠子,临漳县文化馆,曲艺,临漳县文化馆
吴桥杂技,吴桥县杂技团,传统体育、游艺与杂技,吴桥县杂技团
中幡（安头屯中幡）,河北省香河县文化馆,传统体育、游艺与杂技,河北省香河县文化馆
中幡（正定高照）,正定县文化馆,传统体育、游艺与杂技,正定县文化馆
沧州武术,沧州市武术协会,传统体育、游艺与杂技,沧州市武术协会
沧州武术（劈挂拳）,沧州市武术协会,传统体育、游艺与杂技,沧州市武术协会
沧州武术（燕青拳）,沧州市武术协会,传统体育、游艺与杂技,沧州市武术协会
沧州武术（孟村八极拳）,孟村县开门八极拳研究会,传统体育、游艺与杂技,孟村县开门八极拳研究会
沧州武术（六合拳）,泊头六合拳研究会,传统体育、游艺与杂技,泊头六合拳研究会
太极拳（杨氏太极拳）,邯郸市永年区文化馆,传统体育、游艺与杂技,邯郸市永年区文化馆
太极拳（武氏太极拳）,邯郸市永年区文化馆,传统体育、游艺与杂技,邯郸市永年区文化馆
太极拳（王其和太极拳）,河北省王其和太极拳协会,传统体育、游艺与杂技,河北省王其和太极拳协会
太极拳（孙氏太极拳）,望都县文化馆（望都县美术馆）,传统体育、游艺与杂技,望都县文化馆（望都县美术馆）
邢台梅花拳,广宗县文化馆,37.061425,广宗县文化馆
梅花拳,威县文化馆（威县美术馆）,传统体育、游艺与杂技,威县文化馆（威县美术馆）
沙河藤牌阵,邢台经济开发区沙河城镇十里铺村村民委员会,传统体育、游艺与杂技,邢台经济开发区沙河城镇十里铺村村民委员会
八卦掌,文安县文柱武校,传统体育、游艺与杂技,文安县文柱武校
八卦掌,固安县文物和非物质文化遗产所（固安县博物馆）,传统体育、游艺与杂技,固安县文物和非物质文化遗产所（固安县博物馆）
形意拳,深州形意拳协会,传统体育、游艺与杂技,深州形意拳协会
鹰爪翻子拳,保定市鹰爪翻子拳文化研究会,传统体育、游艺与杂技,保定市鹰爪翻子拳文化研究会
满族二贵摔跤,河北省隆化县文化馆,传统体育、游艺与杂技,河北省隆化县文化馆
左各庄杆会,河北省文安县文化馆,传统体育、游艺与杂技,河北省文安县文化馆
苏桥飞叉会,河北省文安县文化馆,传统体育、游艺与杂技,河北省文安县文化馆
戳脚,衡水市燕杰文化武术学校,传统体育、游艺与杂技,衡水市燕杰文化武术学校
青萍剑（贾氏青萍剑）,黄骅市文化馆,传统体育、游艺与杂技,黄骅市文化馆
武强木版年画,武强年画博物馆,传统美术,武强年画博物馆
衡水内画,衡水内画艺术博物馆,传统美术,衡水内画艺术博物馆
剪纸（蔚县剪纸）,蔚县文化馆,传统美术,蔚县文化馆
剪纸（丰宁满族剪纸）,丰宁满族自治县非物质文化遗产保护中心,传统美术,丰宁满族自治县非物质文化遗产保护中心
曲阳石雕,曲阳县文化馆,传统美术,曲阳县文化馆
泥塑（玉田泥塑）,河北省玉田县文化馆,传统美术,河北省玉田县文化馆
草编（大名草编）,大名县文化馆,传统美术,大名县文化馆
柳编（广宗柳编）,广宗县文化馆,传统美术,广宗县文化馆
柳编（固安柳编）,固安县文物和非物质文化遗产所（固安县博物馆）,传统美术,固安县文物和非物质文化遗产所（固安县博物馆）
彩扎（秸秆扎刻）,永清县文化馆,传统美术,永清县文化馆
彩扎（彩布拧台）,邯郸市邯山区文化馆,传统美术,邯郸市邯山区文化馆
京绣,定兴县燕都刺绣工艺品制造有限公司,传统美术,定兴县燕都刺绣工艺品制造有限公司
布糊画,丰宁满族自治县非物质文化遗产保护中心,传统美术,丰宁满族自治县非物质文化遗产保护中心
水陆画,广平县文化馆,传统美术,广平县文化馆
刻铜（饶阳刻铜）,饶阳县文化馆,传统美术,饶阳县文化馆
磁州窑烧制技艺,邯郸市峰峰矿区文化馆,传统技艺,邯郸市峰峰矿区文化馆
生铁冶铸技艺（干模铸造技艺）,泊头市文化馆,传统技艺,泊头市文化馆
景泰蓝制作技艺,大厂回族自治县京东工艺品有限公司,传统技艺,大厂回族自治县京东工艺品有限公司
烟火爆竹制作技艺（南张井老虎火）,井陉县文化馆,传统技艺,井陉县文化馆
定瓷烧制技艺,河北省曲阳陈氏定窑瓷业有限公司,传统技艺,河北省曲阳陈氏定窑瓷业有限公司
传统棉纺织技艺,魏县文化馆,传统技艺,魏县文化馆
传统棉纺织技艺,邯郸市肥乡区文化馆（区公共图书馆）,传统技艺,邯郸市肥乡区文化馆（区公共图书馆）
传统棉纺织技艺（威县土布纺织技艺）,威县老纺车粗布制品有限公司,传统技艺,威县老纺车粗布制品有限公司
花丝镶嵌制作技艺,大厂回族自治县良盛达花丝镶嵌特艺有限公司,传统技艺,大厂回族自治县良盛达花丝镶嵌特艺有限公司
砚台制作技艺（易水砚制作技艺）,河北易水砚有限公司,传统技艺,河北易水砚有限公司
蒸馏酒传统酿造技艺（衡水老白干传统酿造技艺）,河北衡水老白干酒业股份有限公司,传统技艺,河北衡水老白干酒业股份有限公司
蒸馏酒传统酿造技艺（山庄老酒传统酿造技艺）,承德避暑山庄企业集团股份有限公司,传统技艺,承德避暑山庄企业集团股份有限公司
蒸馏酒传统酿造技艺（板城烧锅酒传统五甑酿造技艺）,承德乾隆醉酒业有限责任公司,传统技艺,承德乾隆醉酒业有限责任公司
酿造酒传统酿造技艺（刘伶醉酒酿造技艺）,刘伶醉酿酒股份有限公司,传统技艺,刘伶醉酿酒股份有限公司
衡水法帖雕版拓印技艺,衡水市桃城区法帖博物馆,传统技艺,衡水市桃城区法帖博物馆
直隶官府菜烹饪技艺,保定直隶官府菜研究会,传统技艺,保定直隶官府菜研究会
邢窑陶瓷烧制技艺,邢台市邢瓷烧制技艺研究院,传统技艺,邢台市邢瓷烧制技艺研究院
传统香制作技艺（清苑传统制香技艺）,河北古城香业集团股份有限公司,传统技艺,河北古城香业集团股份有限公司
缂丝织造技艺（定州缂丝织造技艺）,定州市文化馆,传统技艺,定州市文化馆
书画毡制作技艺（定兴书画毡制作技艺）,定兴县何中堂文化用品制造有限公司,传统技艺,定兴县何中堂文化用品制造有限公司
食用油传统制作技艺（大名小磨香油制作技艺）,大名县文化馆,传统技艺,大名县文化馆
中医诊疗法（中医络病诊疗方法）,河北以岭医院,传统医药,河北以岭医院
中医诊疗法（脏腑推拿疗法）,保定得复医药科技有限公司,传统医药,保定得复医药科技有限公司
中医传统制剂方法（金牛眼药制作技艺）,河北金牛原大药业科技有限公司,传统医药,河北金牛原大药业科技有限公司
中医传统制剂方法（腰痛宁组方及其药物炮制工艺）,颈复康药业集团有限公司,传统医药,颈复康药业集团有限公司
太昊伏羲祭典（新乐伏羲祭典）,新乐市文化馆,民俗,新乐市文化馆
女娲祭典,涉县文化馆,民俗,涉县文化馆
民间社火（桃林坪花脸社火）,井陉县文化馆,民俗,井陉县文化馆
民间社火（永年抬花桌）,邯郸市永年区文化馆,民俗,邯郸市永年区文化馆
安国药市,安国市文化馆（安国市美术馆）,民俗,安国市文化馆（安国市美术馆）
元宵节（蔚县拜灯山习俗）,蔚县文化馆,民俗,蔚县文化馆
元宵节（抡花）,滦平县非物质文化遗产保护中心,民俗,滦平县非物质文化遗产保护中心
灯会（苇子灯阵）,邯郸市峰峰矿区文化馆,民俗,邯郸市峰峰矿区文化馆
灯会（胜芳灯会）,霸州市文化馆,民俗,霸州市文化馆
民间信俗（千童信子节）,盐山县文化馆,民俗,盐山县文化馆
抬阁（芯子、铁枝、飘色）（葛渔城重阁会）,安次区文化馆,民俗,安次区文化馆
抬阁（芯子、铁枝、飘色）（宽城背杆）,宽城满族自治县文化馆,民俗,宽城满族自治县文化馆
抬阁（芯子、铁枝、飘色）（隆尧县泽畔抬阁）,隆尧县文化馆,民俗,隆尧县文化馆
打铁花（蔚县打树花）,蔚县文化馆,民俗,蔚县文化馆
